PlayerID,MarksmanRibbons,SniperHours,RibbonsPerHour,SniperKills,SniperKPM,SniperHeadshots,HSKratio,RibbonsPerHeadshot,LongestHeadshot
352409689,21941,855.0,25.662,23658,0.461,22094,93.39,99.31,1674.16
865875501,21875,1599.75,13.674,38507,0.401,24924,64.73,87.77,1396.65
376490571,21637,2695.54,8.027,37089,0.229,24533,66.15,88.2,2522.71
1202857675,21489,1698.18,12.654,91664,0.9,67605,73.75,31.79,1285.18
919738732,21285,573.76,37.098,40905,1.188,30137,73.68,70.63,3334.79
631264981,21025,789.28,26.638,29722,0.628,23906,80.43,87.95,3306.14
913417396,21001,1380.24,15.215,32636,0.394,25333,77.62,82.9,1465.37
508355990,20711,852.53,24.294,26639,0.521,22422,84.17,92.37,1450.95
276418612,20293,672.98,30.154,23191,0.574,20848,89.9,97.34,1390.78
911331980,20186,1821.68,11.081,49329,0.451,24519,49.71,82.33,2907.83
1707387090,20129,973.82,20.67,23891,0.409,21887,91.61,91.97,1465.18
754813716,20121,515.47,39.035,45256,1.463,41367,91.41,48.64,2096.62
185352820,19972,1616.41,12.356,30354,0.313,23710,78.11,84.23,3350.65
932276998,19781,1737.95,11.382,33688,0.323,29056,86.25,68.08,1992.76
925846701,19776,576.23,34.319,26067,0.754,21085,80.89,93.79,2534.47
841280326,19739,909.49,21.703,32260,0.591,25578,79.29,77.17,1514.84
513018743,19732,582.68,33.864,39350,1.126,30442,77.36,64.82,1091.23
930587150,19688,1728.35,11.391,111972,1.08,55752,49.79,35.31,1768.61
1242295195,19630,1091.19,17.989,29666,0.453,21956,74.01,89.41,2092.6
275290920,19535,3998.77,4.885,197005,0.821,56584,28.72,34.52,3240.3
236030331,19509,470.43,41.47,31356,1.111,25429,81.1,76.72,1490.15
944993550,19400,701.04,27.673,35117,0.835,25461,72.5,76.19,3008.92
772130789,19396,409.61,47.352,58093,2.364,43562,74.99,44.53,1001.99
947095378,19357,1453.31,13.319,28029,0.321,20276,72.34,95.47,1856.51
418843643,19352,2836.06,6.824,226625,1.332,94468,41.68,20.49,3225.75
1516303446,19232,1027.26,18.722,174758,2.835,110740,63.37,17.37,1287.63
989837997,19174,1433.34,13.377,36102,0.42,21923,60.73,87.46,1994.03
1882741142,19143,1032.81,18.535,27196,0.439,20165,74.15,94.93,1623.31
240931963,18942,1131.92,16.734,25966,0.382,20195,77.77,93.8,3059.44
932553208,18788,637.67,29.463,41155,1.076,27192,66.07,69.09,1436.19
188684514,18767,536.4,34.987,27882,0.866,23830,85.47,78.75,2790.71
1813602887,18611,683.62,27.224,32861,0.801,21999,66.95,84.6,1555.41
1633707225,18378,1410.17,13.032,22731,0.269,20424,89.85,89.98,1038.1
321730494,18204,870.63,20.909,23634,0.452,20241,85.64,89.94,3357.72
1617054277,18177,1316.77,13.804,58082,0.735,30425,52.38,59.74,3363.33
284829582,18172,843.68,21.539,26267,0.519,22325,84.99,81.4,3360.91
872337968,18129,2390.93,7.582,63372,0.442,40113,63.3,45.19,1302.22
358754825,18077,989.96,18.26,29074,0.489,20064,69.01,90.1,1997.42
801424253,17812,1011.27,17.614,98139,1.617,65549,66.79,27.17,1701.27
778607457,17658,210.69,83.811,25285,2.0,22582,89.31,78.2,2852.96
928591284,17646,851.93,20.713,22546,0.441,20195,89.57,87.38,1999.32
344210912,17575,950.46,18.491,24909,0.437,18681,75.0,94.08,2186.63
1714716779,17518,2170.77,8.07,29017,0.223,21292,73.38,82.28,1486.24
634167268,17045,768.9,22.168,26894,0.583,19618,72.95,86.88,2375.89
1005581546541,17025,926.61,18.373,29825,0.536,21732,72.87,78.34,1268.06
1710361660,16912,1068.33,15.83,30394,0.474,25166,82.8,67.2,2152.14
518978219,16767,1494.83,11.217,118399,1.32,39149,33.07,42.83,1512.62
393988019,16745,1009.99,16.579,27366,0.452,19264,70.39,86.92,3309.91
1615101194,16593,1217.02,13.634,59703,0.818,26797,44.88,61.92,1702.95
1823875209,16476,1037.08,15.887,52675,0.847,26956,51.17,61.12,1902.33
1969102376,16454,595.16,27.646,18099,0.507,16499,91.16,99.73,1567.61
1754085307,16452,2914.22,5.645,246357,1.409,48907,19.85,33.64,2132.29
949894698,16290,1447.5,11.254,78736,0.907,45908,58.31,35.48,2749.49
994792566,16243,1162.79,13.969,93374,1.338,57584,61.67,28.21,941.21
992678318,16094,711.03,22.635,21577,0.506,17937,83.13,89.73,2766.41
979792906,16021,1036.19,15.461,21158,0.34,18968,89.65,84.46,1290.06
1777919170,15992,873.34,18.311,47024,0.897,25994,55.28,61.52,3365.52
1779439728,15971,683.4,23.37,28324,0.691,19101,67.44,83.61,3195.25
381188828,15931,1380.43,11.541,17358,0.21,16381,94.37,97.25,1244.76
223759683,15843,1400.04,11.316,24510,0.292,19488,79.51,81.3,959.24
275715625,15568,1036.33,15.022,19550,0.314,15747,80.55,98.86,1633.95
952148171,15550,1053.35,14.762,75713,1.198,46066,60.84,33.76,2182.22
289965667,15550,552.5,28.145,23143,0.698,19415,83.89,80.09,2072.27
992214665,15528,2346.84,6.617,28071,0.199,17705,63.07,87.7,1717.24
1403745654,15452,2328.68,6.636,171331,1.226,32943,19.23,46.91,2478.28
256431078,15375,637.02,24.136,18642,0.488,15974,85.69,96.25,1687.39
1712156082,15179,1433.75,10.587,22806,0.265,16023,70.26,94.73,1616.83
900566012,15143,313.56,48.293,25774,1.37,21479,83.34,70.5,1488.63
1015926325,15136,847.86,17.852,61822,1.215,45376,73.4,33.36,973.9
187946220,15022,1111.7,13.513,20523,0.308,17362,84.6,86.52,2567.1
949218250,15018,885.64,16.957,19194,0.361,15730,81.95,95.47,1668.26
