PlayerID,MarksmanRibbons,SniperHours,RibbonsPerHour,SniperKills,SniperKPM,SniperHeadshots,HSKratio,RibbonsPerHeadshot,LongestHeadshot
331579433,22480,751.29,29.922,24955,0.554,22781,91.29,98.68,963.42
1004013310037,22395,2031.17,11.026,48713,0.4,23505,48.25,95.28,1644.74
861461980,22132,570.32,38.806,28656,0.837,24310,84.83,91.04,1632.98
845215195,22085,650.48,33.952,38636,0.99,28490,73.74,77.52,1542.06
194423447,21820,911.07,23.95,30436,0.557,24007,78.88,90.89,2766.23
351434556,21559,739.03,29.172,28212,0.636,27055,95.9,79.69,696.22
1060927983,21544,1289.79,16.704,81600,1.054,31102,38.12,69.27,2909.35
1292491966,21514,1807.0,11.906,37062,0.342,27309,73.68,78.78,1154.39
226300244,21473,1537.43,13.967,26641,0.289,22152,83.15,96.93,1317.87
352956935,21463,2556.2,8.396,253987,1.656,112854,44.43,19.02,1612.22
842523959,21211,551.75,38.443,35044,1.059,26002,74.2,81.57,1751.1
813968453,21049,546.62,38.507,26263,0.801,23287,88.67,90.39,1829.03
881535189,20657,1080.0,19.127,154546,2.385,97791,63.28,21.12,2599.41
991524228,20422,1375.19,14.85,171516,2.079,108088,63.02,18.89,1488.33
171843476,20383,2144.6,9.504,80323,0.624,46730,58.18,43.62,1820.11
371388728,20351,423.92,48.006,36396,1.431,30424,83.59,66.89,1602.59
957444724,20319,540.46,37.596,21459,0.662,20487,95.47,99.18,1168.62
269860001,20059,334.72,59.928,37033,1.844,33749,91.13,59.44,1907.02
891687099,19963,1682.61,11.864,157835,1.563,96455,61.11,20.7,1104.11
298127870,19814,1102.11,17.978,30819,0.466,22925,74.39,86.43,2427.79
336110632,19570,589.68,33.187,60061,1.698,43936,73.15,44.54,1248.99
190384791,19451,1094.34,17.774,137342,2.092,72163,52.54,26.95,1128.64
1060213781,19166,1462.96,13.101,53368,0.608,32857,61.57,58.33,942.41
385421375,19100,2172.14,8.793,33839,0.26,23388,69.12,81.67,1383
678317224,19041,432.17,44.059,34225,1.32,28797,84.14,66.12,2437.46
1913625180,18859,1051.91,17.928,86052,1.363,53212,61.84,35.44,2024.68
922870654,18836,1314.25,14.332,63435,0.804,38424,60.57,49.02,2733.24
192462215,18744,886.21,21.151,82635,1.554,58528,70.83,32.03,1475.39
404643227,18664,552.4,33.787,20718,0.625,19214,92.74,97.14,1875.88
754097159,18589,1155.24,16.091,24477,0.353,19721,80.57,94.26,1502.44
1060452977,18523,1301.73,14.229,99091,1.269,63307,63.89,29.26,1644.1
363586077,18424,1101.24,16.73,27194,0.412,21551,79.25,85.49,1279.49
383938306,18416,993.59,18.535,151776,2.546,89801,59.17,20.51,796.68
351386230,18399,897.74,20.495,20760,0.385,18595,89.57,98.95,1102.63
355035198,18397,401.34,45.839,69982,2.906,55284,79.0,33.28,793.19
515830844,18312,1655.08,11.064,31126,0.313,21322,68.5,85.88,1594.97
947762835,18199,1475.02,12.338,22631,0.256,18343,81.05,99.21,1313.21
381416586,18057,1459.49,12.372,71296,0.814,40214,56.4,44.9,2697.25
1851950949,18052,1252.97,14.407,56093,0.746,42305,75.42,42.67,2665.4
913779995,17891,463.35,38.613,48476,1.744,33181,68.45,53.92,3369.7
941933799,17821,2810.79,6.34,265505,1.574,117186,44.14,15.21,590.11
355589393,17812,1713.65,10.394,29888,0.291,18195,60.88,97.9,1683.03
888740130,17731,1440.71,12.307,42146,0.488,24277,57.6,73.04,2220.67
318769866,17675,965.45,18.307,105327,1.818,31986,30.37,55.26,1508.39
930336724,17653,659.37,26.773,48349,1.222,32880,68.01,53.69,1622.11
774916178,17617,1343.29,13.115,174679,2.167,46641,26.7,37.77,1138.49
763897493,17530,521.19,33.635,23144,0.74,19224,83.06,91.19,920.4
982761209,17520,1407.28,12.45,51667,0.612,29353,56.81,59.69,1512.26
179072173,17284,1316.29,13.131,121176,1.534,56415,46.56,30.64,2726.04
930885370,17207,1490.09,11.548,78654,0.88,61688,78.43,27.89,3361.18
357847403,17161,622.7,27.559,23484,0.629,18392,78.32,93.31,1420.19
195412947,17111,1495.6,11.441,23340,0.26,17526,75.09,97.63,1703.54
931164411,17086,1124.7,15.192,31866,0.472,21338,66.96,80.07,1819.83
980557284,17060,816.79,20.887,104529,2.133,64608,61.81,26.41,1134.43
841303191,17039,1555.12,10.957,157879,1.692,95657,60.59,17.81,932.82
805036905,16999,912.48,18.629,126800,2.316,86481,68.2,19.66,1022.39
1292918833,16868,898.13,18.781,127419,2.365,68812,54.0,24.51,2016.72
364869197,16791,2002.54,8.385,31929,0.266,21621,67.72,77.66,1413.73
774624924,16495,978.65,16.855,23364,0.398,17602,75.34,93.71,1808.37
828691931,16316,1586.75,10.283,19857,0.209,16413,82.66,99.41,1730.2
270103548,16249,1017.9,15.963,27129,0.444,18345,67.62,88.57,2466.14
305587349,16242,561.61,28.92,27265,0.809,21383,78.43,75.96,975.74
888403472,16202,899.48,18.013,30019,0.556,20807,69.31,77.87,1550.02
1738732146,16130,761.94,21.17,19895,0.435,16366,82.26,98.56,1517.51
848807815,16114,1658.62,9.715,33897,0.341,20031,59.09,80.45,1995.86
887693069,16075,612.97,26.225,45544,1.238,34633,76.04,46.42,1581.23
1564205808,16037,1467.29,10.93,211101,2.398,106216,50.32,15.1,1461.5
1003521669606,15978,1096.61,14.57,34432,0.523,22493,65.33,71.04,1235.83
359137068,15958,986.23,16.181,18920,0.32,16099,85.09,99.12,1432.54
1088134989,15930,948.7,16.791,20453,0.359,16273,79.56,97.89,1582.17
967242989,15901,410.37,38.748,21073,0.856,17334,82.26,91.73,1718.15
930859668,15874,869.73,18.252,54095,1.037,32156,59.44,49.37,1275.99
925857210,15862,1560.08,10.167,102258,1.092,55963,54.73,28.34,1193.43
864907633,15812,930.98,16.984,32570,0.583,23322,71.61,67.8,1286.22
784851630,15760,589.09,26.753,90925,2.572,62636,68.89,25.16,852.11
187951871,15756,664.37,23.716,37169,0.932,27636,74.35,57.01,1696.14
989886838,15573,840.49,18.528,23649,0.469,17438,73.74,89.3,1583.51
308427422,15561,1007.8,15.441,143403,2.372,102979,71.81,15.11,280.96
329373336,15543,347.15,44.773,19582,0.94,16514,84.33,94.12,3001.82
368887951,15434,392.26,39.347,16772,0.713,15599,93.01,98.94,1644.51
1062464061,15365,2871.51,5.351,198920,1.155,36250,18.22,42.39,1950.17
1004511795210,15356,941.21,16.315,20730,0.367,15775,76.1,97.34,1755.6
344977100,15239,1107.21,13.763,192493,2.898,102466,53.23,14.87,982.4
846244164,15216,719.39,21.151,23522,0.545,17575,74.72,86.58,1495.65
1036413883,15195,1084.02,14.017,130890,2.012,71672,54.76,21.2,1694.83
232906808,15184,942.8,16.105,140383,2.482,97552,69.49,15.57,1402.72
444283240,15173,1076.99,14.088,143127,2.215,94318,65.9,16.09,1476.86
783240904,15139,1674.77,9.039,18003,0.179,15604,86.67,97.02,1516.22
